,Client Name,ProgramID,Program Name,Program Status,Unnamed: 4,is Anonymous Match,Program Created At,# Notes by programs,# Users by Program,# Users who requested match by program,# Users who were requested,# Requests by program,# Partnerships Complete,# Partnerships In Progress,# Partnerships Not Started,# Partnerships by Status,# Notes Completed by Program,date,year,month
284,Johnson & Johnson,1,Upward Connections,ACTIVE,No,0,2021-03-26 20:16:28,140,48,0,0,0,0,20,2,20,27,2021-03-26 20:16:28,2021,3
120,Hearst Newspapers,1,Test Environment,ACTIVE,No,0,2020-11-16 22:47:24,0,3,0,0,0,0,0,0,0,0,2020-11-16 22:47:24,2020,11
116,Hearst Newspapers,2,Hearst Newspapers,ACTIVE,No,0,2021-09-23 14:29:55,0,4,0,0,0,0,0,0,0,0,2021-09-23 14:29:55,2021,9
114,Hearst Newspapers,3,Newspapersâ€™ Reach | Mentor Program (Oct 2021),ACTIVE,No,0,2021-09-29 14:34:02,328,107,41,37,90,1,18,16,1,1,2021-09-29 14:34:02,2021,9
112,Hearst Newspapers,4,Newspapers' Reach | Mentor Program (Jan 2022),ACTIVE,No,0,2021-12-16 16:10:10,80,56,24,25,51,0,13,8,13,0,2021-12-16 16:10:10,2021,12
113,Hearst Newspapers,5,Newspapers' Reach | Mentor Program (July 2022),ACTIVE,No,0,2022-04-21 20:03:27,146,73,28,29,66,0,14,20,20,0,2022-04-21 20:03:27,2022,4
111,Hearst Newspapers,7,Hearst Fellowship 2022-2023,ACTIVE,No,0,2022-08-15 15:06:22,0,29,0,0,0,0,0,13,13,0,2022-08-15 15:06:22,2022,8
253,Hearst Transportation,1,2022 Transportation Mentor Program,ACTIVE,No,0,2021-04-23 19:21:54,0,1,0,0,0,0,0,0,0,0,2021-04-23 19:21:54,2021,4
54,Teva,1,ACE North America Mentoring Program,ACTIVE,No,0,2021-08-19 19:18:40,117,239,107,96,181,4,19,106,19,0,2021-08-19 19:18:40,2021,8
56,Teva,2,InterMentor Mentoring Program,ACTIVE,No,0,2021-08-31 15:38:21,56,45,19,20,27,6,13,9,6,2,2021-08-31 15:38:21,2021,8
57,Teva,3,Match & Grow Mentoring Program,ACTIVE,No,0,2021-09-21 13:55:37,16,11,4,3,5,7,2,3,7,1,2021-09-21 13:55:37,2021,9
59,Teva,4,Teva Global Finance Mentoring Program,ACTIVE,No,0,2021-10-18 10:36:34,1,6,0,0,0,0,1,0,1,0,2021-10-18 10:36:34,2021,10
58,Teva,5,Momentum Mentoring Program,ACTIVE,No,0,2021-12-20 15:20:08,411,243,122,93,312,1,79,64,64,32,2021-12-20 15:20:08,2021,12
55,Teva,6,Emerging Sales Manager Program,ACTIVE,No,0,2022-06-29 22:42:56,2,2,0,0,0,0,1,0,1,0,2022-06-29 22:42:56,2022,6
156,Toyota Quality,1,Inspiring Growth and Development,ACTIVE,No,0,2021-03-31 20:07:21,0,4,1,1,1,0,0,1,1,0,2021-03-31 20:07:21,2021,3
252,Hearst Tech Group,2,Tech Services Mentor Program,ACTIVE,No,0,2021-02-25 20:27:52,0,1,0,0,0,0,0,0,0,0,2021-02-25 20:27:52,2021,2
103,The Alliance,1,One-to-One Mentorship Program,ACTIVE,No,0,2021-10-14 17:24:25,116,201,0,0,0,8,34,90,90,47,2021-10-14 17:24:25,2021,10
105,The Alliance,4,Situational Mentorship,ACTIVE,No,0,2021-12-30 18:49:04,0,71,2,2,2,0,0,0,0,0,2021-12-30 18:49:04,2021,12
106,The Alliance,5,The Alliance Group Mentorship,ACTIVE,No,0,2022-03-04 20:39:14,0,1,0,0,0,0,0,0,0,0,2022-03-04 20:39:14,2022,3
207,Mid Penn Bank,1,Test Career Mentor Program,ACTIVE,No,0,2022-03-17 22:50:53,84,8,0,0,0,2,6,1,2,42,2022-03-17 22:50:53,2022,3
208,Mid Penn Bank,2,Test Emerging Leaders,ACTIVE,No,0,2022-03-21 19:16:24,2,7,0,0,0,0,2,2,2,1,2022-03-21 19:16:24,2022,3
203,Mid Penn Bank,3,Career Mentor Program,ACTIVE,No,0,2022-03-28 14:14:51,204,51,0,0,0,1,22,3,22,53,2022-03-28 14:14:51,2022,3
211,Mid Penn Bank,4,Emerging Leaders 2022 Cohort 2,ACTIVE,No,0,2022-04-11 14:26:30,0,16,0,0,0,0,0,0,0,0,2022-04-11 14:26:30,2022,4
206,Mid Penn Bank,5,Summer Intern Mentorship Program 2022,ACTIVE,No,0,2022-05-06 13:58:06,56,49,0,0,0,34,0,0,34,0,2022-05-06 13:58:06,2022,5
209,Mid Penn Bank,6,Test Monthly 1 on 1 meetings,ACTIVE,No,0,2022-05-23 18:25:39,32,10,0,0,0,0,7,2,7,15,2022-05-23 18:25:39,2022,5
217,Mid Penn Bank,7,Test Free for All,ENROLL,No,0,2022-05-27 18:25:01,0,8,0,0,0,0,0,0,0,0,2022-05-27 18:25:01,2022,5
204,Mid Penn Bank,8,Financial Center Performance Meetings,ACTIVE,No,0,2022-07-19 17:36:25,9,199,0,0,0,0,3,159,159,6,2022-07-19 17:36:25,2022,7
205,Mid Penn Bank,10,Quarterly Check-ins,ACTIVE,No,0,2022-08-05 15:09:50,14,33,0,0,0,1,13,18,18,0,2022-08-05 15:09:50,2022,8
153,AHEC 4,2,RSHS Mentorship Program 2022-2023,ACTIVE,No,0,2021-09-28 19:16:29,0,4,0,0,0,0,0,0,0,0,2021-09-28 19:16:29,2021,9
165,Janssen,1,MeSA Mentoring Place,ACTIVE,No,0,2021-10-14 17:24:25,638,153,0,0,0,0,63,20,63,290,2021-10-14 17:24:25,2021,10
166,Janssen,2,The Expertise Alliance,ACTIVE,No,0,2022-04-01 19:10:27,69,54,0,0,0,1,21,15,1,34,2022-04-01 19:10:27,2022,4
254,AHLAF 4X,3,AHLAF Mentoring Program,ACTIVE,No,0,2021-09-29 15:42:58,160,96,48,35,90,1,31,12,31,49,2021-09-29 15:42:58,2021,9
306,Long Beach VA Mentor Connection,1,LBVA Nurse Mentorship Program,ENROLL,No,0,2021-10-20 16:11:57,0,6,1,1,1,0,0,1,1,0,2021-10-20 16:11:57,2021,10
308,Long Beach VA Mentor Connection,2,LBVA Supervisor Mentorship Program,INACTIVE,No,0,2021-10-23 23:32:52,0,3,0,0,0,0,0,0,0,0,2021-10-23 23:32:52,2021,10
159,Women in Automotive,4,WomenPowered Mentoring Program,ACTIVE,No,0,2021-04-02 16:47:48,46,47,6,4,8,0,3,3,3,26,2021-04-02 16:47:48,2021,4
160,Women in Automotive,5,WomenPowered Circle Mentoring,ACTIVE,No,0,2022-03-24 20:42:51,0,3,0,0,0,0,0,0,0,0,2022-03-24 20:42:51,2022,3
45,AAM,1,EHEC Associates,ACTIVE,No,0,2022-01-11 1:52:10,16,11,0,0,0,0,4,1,4,0,2022-01-11 01:52:10,2022,1
44,AAM,2,AAM's Global Mentor Program,ACTIVE,No,0,2022-02-09 18:16:43,728,408,151,141,233,7,125,34,34,306,2022-02-09 18:16:43,2022,2
155,Astellas Pharma US,1,The FLA Training Program,ACTIVE,No,0,2021-04-26 19:14:08,0,24,0,0,0,0,0,0,0,0,2021-04-26 19:14:08,2021,4
154,Astellas Pharma US,2,1:1 Mentoring Program,ACTIVE,No,0,2022-04-20 17:45:30,0,4,0,0,0,0,0,0,0,0,2022-04-20 17:45:30,2022,4
94,WCTC,2,DEI Employee Mentoring Program,ACTIVE,No,0,2020-10-27 17:00:37,49,22,0,0,0,1,6,4,1,26,2020-10-27 17:00:37,2020,10
296,BMW,4,BMW EnGauge Mentoring Program 2021 - 2022,ACTIVE,No,0,2021-10-04 13:23:02,61,44,0,0,0,1,9,11,11,31,2021-10-04 13:23:02,2021,10
311,Reynolds 4,4,Reynolds Mentoring Circles,ACTIVE,No,0,2021-12-01 19:05:14,0,1,0,0,0,0,0,0,0,0,2021-12-01 19:05:14,2021,12
310,Reynolds 4,7,Virginia Union Mentoring Program,ACTIVE,No,0,2021-12-17 19:11:11,3,2,0,0,0,0,1,0,1,0,2021-12-17 19:11:11,2021,12
137,UCB,3,WiL Mentoring Program,ACTIVE,No,0,2021-10-13 16:27:39,191,109,0,0,0,3,38,15,3,76,2021-10-13 16:27:39,2021,10
135,UCB,4,UCB Sponsorship Program,ACTIVE,No,0,2021-10-25 18:16:56,34,54,0,0,0,2,12,13,13,7,2021-10-25 18:16:56,2021,10
136,UCB,5,UCBee 2022 Mentoring Program,ACTIVE,No,0,2021-11-02 13:02:55,139,59,0,0,0,0,23,3,23,52,2021-11-02 13:02:55,2021,11
140,UCB,6,UCBee Enrichment Partner Program,ACTIVE,No,0,2022-01-26 15:46:08,0,57,3,3,4,0,0,0,0,0,2022-01-26 15:46:08,2022,1
4,Brambles,1,NA Inclusion & Diversity Program 2022,ACTIVE,Yes,1,2021-08-30 13:39:05,1,286,5,4,7,1,1,98,98,1,2021-08-30 13:39:05,2021,8
10,Brambles,11,APAC Demo,ENROLL,No,0,2020-12-08 15:44:36,0,1,0,0,0,0,0,0,0,0,2020-12-08 15:44:36,2020,12
3,Brambles,12,European Reverse Mentoring,ACTIVE,No,0,2021-09-23 11:11:23,38,61,0,0,0,0,11,19,19,21,2021-09-23 11:11:23,2021,9
1,Brambles,13,IMETA MentorConnect,ACTIVE,Yes,1,2021-09-23 14:01:11,644,108,45,44,140,3,42,15,15,297,2021-09-23 14:01:11,2021,9
8,Brambles,14,Supply Chain Mentorship Program,ACTIVE,Yes,1,2021-12-07 14:12:29,0,25,6,4,6,0,0,5,5,0,2021-12-07 14:12:29,2021,12
0,Brambles,15,European Mentoring Programme 2022,ACTIVE,Yes,1,2021-12-15 8:24:24,648,270,124,69,208,7,82,86,7,138,2021-12-15 08:24:24,2021,12
2,Brambles,16,APAC Mentor Connect Pilot Program 2022,ACTIVE,Yes,1,2021-12-15 21:48:58,357,53,26,25,56,0,25,0,25,78,2021-12-15 21:48:58,2021,12
9,Brambles,17,TEST AM,INACTIVE,No,0,2022-01-13 11:46:51,0,2,0,0,0,0,0,1,1,0,2022-01-13 11:46:51,2022,1
7,Brambles,18,FinanceConnect 2022,ACTIVE,Yes,1,2022-02-18 15:26:19,0,33,0,0,0,0,0,14,14,0,2022-02-18 15:26:19,2022,2
5,Brambles,19,EMPOWER 2022,ACTIVE,No,0,2022-03-09 1:42:17,0,40,0,0,0,0,0,20,20,0,2022-03-09 01:42:17,2022,3
17,Brambles,20,IMETA Mentee Circle,INACTIVE,No,0,2022-07-26 17:16:03,0,3,0,0,0,0,0,0,0,0,2022-07-26 17:16:03,2022,7
6,Brambles,22,European Reverse Mentoring Programme 2022,ACTIVE,No,0,2022-08-05 13:15:50,0,2,0,0,0,0,0,1,1,0,2022-08-05 13:15:50,2022,8
240,City of Atlanta,1,City of Atlanta S.E.E.D. Program,ENROLL,No,0,2022-03-17 21:11:34,0,5,0,0,0,0,0,0,0,0,2022-03-17 21:11:34,2022,3
89,UPS,2,UPS Voluntary Demo Program,ACTIVE,No,0,2022-02-14 13:36:53,0,5,0,0,0,0,0,0,0,0,2022-02-14 13:36:53,2022,2
87,UPS,3,The Talent Development Mentoring Circle,ACTIVE,No,0,2022-02-14 17:10:11,0,77,0,0,0,0,0,0,0,0,2022-02-14 17:10:11,2022,2
83,UPS,4,Professional 1:1 Mentoring,ACTIVE,No,0,2022-03-23 19:06:15,64,44,0,0,0,0,14,4,4,35,2022-03-23 19:06:15,2022,3
86,UPS,5,Sales Onboarding Program,ACTIVE,No,0,2022-08-12 17:16:46,0,6,0,0,0,0,0,0,0,0,2022-08-12 17:16:46,2022,8
84,UPS,6,Trinity Onboarding Sample Program,ACTIVE,No,0,2022-10-19 15:34:31,0,2,0,0,0,0,0,1,1,0,2022-10-19 15:34:31,2022,10
266,CPCC,1,Equity in Contracting Initiative,ACTIVE,No,0,2021-11-12 21:42:39,440,51,26,15,113,35,40,25,35,162,2021-11-12 21:42:39,2021,11
289,SMPA,1,MAP Mentoring Component,ACTIVE,No,0,2019-09-17 17:05:01,4,36,0,0,0,0,1,0,1,1,2019-09-17 17:05:01,2019,9
290,SMPA,3,"Mentoring Program Demo ""Network Connect""",ACTIVE,No,0,2022-04-18 19:33:56,0,21,2,1,2,0,0,1,1,0,2022-04-18 19:33:56,2022,4
276,Abbvie,1,D E & I Mentoring Program,ACTIVE,No,0,2021-09-13 17:23:09,0,4,0,0,0,0,0,0,0,0,2021-09-13 17:23:09,2021,9
272,Abbvie,4,D E & I Anonymous Matching Program,ACTIVE,No,0,2021-09-29 21:16:56,0,10,2,3,3,0,0,2,2,0,2021-09-29 21:16:56,2021,9
277,Abbvie,5,Emerging Leaders Circle Mentoring,ACTIVE,No,0,2021-10-07 3:45:25,0,5,0,0,0,0,0,0,0,0,2021-10-07 03:45:25,2021,10
274,Abbvie,13,Circle Test,ACTIVE,No,0,2021-11-09 20:12:25,0,3,0,0,0,0,0,0,0,0,2021-11-09 20:12:25,2021,11
273,Abbvie,14,FST 2022 Mentoring Program,ACTIVE,No,0,2021-12-30 19:43:55,197,37,0,0,0,1,17,2,17,1,2021-12-30 19:43:55,2021,12
130,Sonnenalp,1,Sonnenalp Mentorship,ACTIVE,No,0,2021-10-26 15:25:51,8,33,0,0,0,2,3,11,11,0,2021-10-26 15:25:51,2021,10
193,LEO Pharma,1,LEO ONE Mentoring Program,ACTIVE,No,0,2021-10-19 19:06:52,2,392,1,1,1,0,1,0,1,0,2021-10-19 19:06:52,2021,10
195,LEO Pharma,3,LEO Pharma - 002,INACTIVE,No,0,2021-12-07 22:04:54,0,2,0,0,0,0,0,0,0,0,2021-12-07 22:04:54,2021,12
260,Hearst Fitch Group,3,MentorPoint,ACTIVE,No,0,2021-09-29 15:42:58,138,448,157,92,318,2,45,81,81,51,2021-09-29 15:42:58,2021,9
177,Merck,1,Merck LEAD Mentoring Phase 3 - 1:1 Mentoring,ACTIVE,No,0,2021-10-04 0:30:28,217,105,0,0,0,1,40,15,40,67,2021-10-04 00:30:28,2021,10
181,Merck,3,Merck LEAD Mentoring Phase 1 - Foundation Building,ACTIVE,No,0,2021-11-03 17:38:52,0,67,0,0,0,0,0,0,0,0,2021-11-03 17:38:52,2021,11
182,Merck,4,Merck LEAD Mentoring Phase 2 - Skill Building,ACTIVE,No,0,2021-11-03 17:39:56,0,63,0,0,0,0,0,0,0,0,2021-11-03 17:39:56,2021,11
180,Merck,5,Demo Mentor Program (Voluntary Matching),ACTIVE,No,0,2022-01-25 21:42:35,0,5,0,0,0,0,0,0,0,0,2022-01-25 21:42:35,2022,1
176,Merck,6,1:1 INSPIRE Mentoring (Demo),ACTIVE,No,0,2022-05-12 21:24:42,2,2,0,0,0,0,1,0,1,0,2022-05-12 21:24:42,2022,5
178,Merck,7,Rainbow Alliance Mentoring Program,ACTIVE,No,0,2022-09-09 20:58:35,3,34,0,0,0,0,3,14,3,1,2022-09-09 20:58:35,2022,9
304,Hearst Television,1,Test Environment,ACTIVE,Yes,1,2020-11-16 22:47:24,0,2,0,0,0,0,0,0,0,0,2020-11-16 22:47:24,2020,11
302,Hearst Television,2,Hearst TV DE&I Mentoring Program,ACTIVE,Yes,1,2021-09-23 14:50:44,0,3571,2,2,3,0,0,1,1,0,2021-09-23 14:50:44,2021,9
199,National Church Residences,1,National Church Residences Mentorship Program,ACTIVE,No,0,2021-10-14 17:24:25,0,3,0,0,0,0,0,0,0,0,2021-10-14 17:24:25,2021,10
197,National Church Residences,2,A.I.M. Mentoring Program,ACTIVE,No,0,2022-03-14 15:54:59,33,4,0,0,0,0,2,0,2,4,2022-03-14 15:54:59,2022,3
200,National Church Residences,3,Pilot Demo for Education Team,ACTIVE,No,0,2022-03-14 15:56:53,0,14,1,1,1,0,0,0,0,0,2022-03-14 15:56:53,2022,3
241,Hearst Health,2,2021 Hearst Health Mentor Program,ACTIVE,No,0,2021-03-10 16:24:33,0,6,2,2,2,0,0,1,1,0,2021-03-10 16:24:33,2021,3
242,Hearst Health,3,2022 Hearst Health Mentor Program,ACTIVE,No,0,2022-04-28 12:46:49,84,123,61,39,100,0,30,35,30,31,2022-04-28 12:46:49,2022,4
243,Hearst Health,4,Content Development,ACTIVE,No,0,2022-05-19 15:51:47,2,2,0,0,0,0,1,0,1,0,2022-05-19 15:51:47,2022,5
100,NextGen Cyber Talent,1,NextGen 1:1 Mentoring Program,ACTIVE,No,0,2021-08-20 23:45:21,4,25,0,0,0,0,2,0,2,0,2021-08-20 23:45:21,2021,8
